10:38:07,10:38:07,-121;
10:38:15,10:38:16,-124;
10:38:41,10:38:42,-117;
10:38:56,10:38:56,-116;
10:39:05,10:39:05,-130;
10:39:22,10:39:22,-115;
10:39:25,10:39:25,-115;
10:39:34,10:39:34,-114;
10:39:42,10:39:43,-115;
10:39:45,10:39:46,-122;
10:39:49,10:39:49,-119;
10:39:52,10:39:52,-115;
10:39:55,10:39:55,-121;
10:39:58,10:39:58,-118;
10:40:01,10:40:01,-133;
10:40:10,10:40:10,-117;
10:40:24,10:40:25,-120;
10:40:27,10:40:28,-116;
10:40:30,10:40:31,-117;
10:40:39,10:40:40,-133;
10:40:56,10:40:57,-124;
10:41:16,10:41:17,-133;
10:41:22,10:41:23,-129;
10:41:39,10:41:40,-124;
10:41:59,10:42:00,-129;
10:42:14,10:42:14,-116;
10:42:28,10:42:29,-129;
10:42:37,10:42:38,-121;
10:42:52,10:42:52,-129;
10:43:15,10:43:15,-131;
10:43:26,10:43:26,-133;
10:43:49,10:43:49,-132;
10:43:54,10:43:55,-128;
10:44:15,10:44:15,-124;
10:44:18,10:44:18,-121;
10:44:21,10:44:21,-122;
10:44:24,10:44:24,-128;
10:44:27,10:44:27,-127;
10:44:36,10:44:36,-123;
10:44:45,10:44:45,-124;
10:44:53,10:44:54,-129;
10:44:59,10:44:59,-129;
10:45:02,10:45:03,-130;
10:45:17,10:45:17,-127;
10:45:25,10:45:26,-136;
10:45:31,10:45:31,-131;
10:45:34,10:45:35,-133;
10:45:40,10:45:40,-135;
