10:20:08,10:20:08,-125;
10:20:09,10:20:09,-127;
10:20:14,10:20:14,-117;
10:20:15,10:20:16,-116;
10:20:17,10:20:17,-121;
10:20:19,10:20:19,-123;
10:20:20,10:20:21,-134;
10:20:25,10:20:25,-130;
10:20:34,10:20:34,-128;
10:20:38,10:20:39,-127;
10:20:40,10:20:40,-128;
10:20:45,10:20:45,-127;
10:20:46,10:20:46,-123;
10:20:48,10:20:48,-125;
10:20:50,10:20:50,-126;
10:21:03,10:21:03,-121;
10:21:05,10:21:05,-124;
10:21:07,10:21:07,-122;
10:21:08,10:21:08,-124;
10:21:10,10:21:10,-121;
10:21:12,10:21:12,-122;
10:21:13,10:21:13,-123;
10:21:15,10:21:15,-123;
10:21:26,10:21:26,-116;
10:21:27,10:21:27,-116;
10:21:29,10:21:29,-121;
10:21:31,10:21:31,-120;
10:21:32,10:21:32,-120;
10:21:34,10:21:34,-129;
10:21:39,10:21:39,-132;
10:21:48,10:21:48,-123;
10:21:54,10:21:54,-123;
10:22:13,10:22:14,-122;
10:22:15,10:22:15,-127;
10:22:17,10:22:17,-130;
10:22:21,10:22:21,-133;
10:22:30,10:22:30,-129;
10:22:32,10:22:32,-126;
10:22:34,10:22:34,-122;
10:22:35,10:22:36,-126;
10:22:37,10:22:37,-122;
10:22:39,10:22:39,-123;
10:22:40,10:22:41,-129;
10:22:45,10:22:45,-128;
10:22:49,10:22:50,-127;
10:22:51,10:22:51,-126;
10:22:53,10:22:53,-127;
10:22:54,10:22:55,-130;
10:23:08,10:23:08,-128;
10:23:12,10:23:13,-125;
10:23:23,10:23:23,-117;
10:23:25,10:23:25,-121;
10:23:27,10:23:27,-123;
10:23:28,10:23:28,-122;
10:23:30,10:23:30,-117;
10:23:32,10:23:32,-116;
10:23:33,10:23:33,-124;
10:23:38,10:23:38,-116;
10:23:39,10:23:40,-120;
10:23:44,10:23:44,-123;
10:23:46,10:23:46,-121;
10:23:47,10:23:47,-121;
10:23:49,10:23:49,-121;
10:23:51,10:23:51,-124;
10:23:52,10:23:52,-116;
10:23:54,10:23:54,-115;
10:23:56,10:23:56,-122;
10:24:05,10:24:05,-127;
10:24:06,10:24:07,-125;
10:24:08,10:24:08,-121;
10:24:10,10:24:10,-121;
10:24:11,10:24:12,-125;
10:24:13,10:24:13,-122;
10:24:15,10:24:15,-127;
10:24:19,10:24:19,-125;
10:24:34,10:24:35,-128;
10:24:36,10:24:36,-129;
10:24:38,10:24:38,-131;
10:24:47,10:24:47,-128;
