10:25:37,10:25:37,-130;
10:25:42,10:25:42,-124;
10:25:44,10:25:44,-128;
10:25:46,10:25:46,-123;
10:25:47,10:25:48,-125;
10:25:49,10:25:50,-130;
10:25:54,10:25:54,-126;
10:25:56,10:25:56,-126;
10:25:58,10:25:58,-126;
10:26:00,10:26:00,-121;
10:26:01,10:26:02,-123;
10:26:03,10:26:04,-120;
10:26:05,10:26:05,-122;
10:26:07,10:26:07,-120;
10:26:09,10:26:09,-123;
10:26:11,10:26:11,-130;
10:26:13,10:26:13,-121;
10:26:15,10:26:15,-123;
10:26:16,10:26:17,-117;
10:26:18,10:26:19,-115;
10:26:20,10:26:20,-117;
10:26:22,10:26:22,-117;
10:26:24,10:26:24,-120;
10:26:26,10:26:26,-117;
10:26:28,10:26:28,-117;
10:26:30,10:26:30,-116;
10:26:31,10:26:32,-117;
10:26:33,10:26:33,-122;
10:26:35,10:26:35,-122;
10:26:37,10:26:37,-124;
10:26:39,10:26:39,-134;
10:26:44,10:26:44,-125;
10:26:45,10:26:46,-129;
10:26:47,10:26:48,-126;
10:26:54,10:26:54,-127;
10:26:56,10:26:56,-125;
10:26:58,10:26:58,-126;
10:26:59,10:27:00,-134;
10:27:04,10:27:04,-130;
10:27:06,10:27:06,-126;
10:27:08,10:27:08,-134;
10:27:22,10:27:22,-132;
10:27:26,10:27:27,-116;
10:27:28,10:27:29,-121;
10:27:30,10:27:30,-117;
10:27:32,10:27:32,-117;
10:27:34,10:27:34,-118;
10:27:36,10:27:36,-125;
10:27:38,10:27:38,-133;
10:27:42,10:27:43,-117;
10:27:44,10:27:44,-117;
10:27:46,10:27:46,-117;
10:27:48,10:27:48,-118;
10:27:50,10:27:50,-122;
10:27:52,10:27:52,-117;
10:27:54,10:27:54,-118;
10:27:55,10:27:56,-121;
10:27:57,10:27:58,-121;
10:27:59,10:27:59,-117;
10:28:01,10:28:01,-125;
10:28:03,10:28:03,-118;
10:28:05,10:28:05,-116;
10:28:07,10:28:07,-121;
10:28:09,10:28:09,-127;
10:28:10,10:28:11,-125;
10:28:12,10:28:13,-131;
10:28:17,10:28:17,-122;
10:28:19,10:28:19,-115;
10:28:21,10:28:21,-118;
10:28:23,10:28:23,-124;
10:28:24,10:28:25,-133;
10:28:40,10:28:41,-116;
10:28:42,10:28:42,-115;
10:28:44,10:28:44,-116;
10:28:46,10:28:46,-114;
10:28:48,10:28:48,-115;
10:28:50,10:28:50,-128;
10:29:01,10:29:01,-121;
10:29:03,10:29:03,-117;
10:29:05,10:29:05,-117;
10:29:06,10:29:07,-118;
10:29:08,10:29:09,-114;
10:29:10,10:29:10,-115;
10:29:12,10:29:12,-125;
10:29:14,10:29:14,-115;
10:29:16,10:29:16,-114;
10:29:18,10:29:18,-122;
10:29:20,10:29:20,-122;
10:29:26,10:29:26,-121;
10:29:28,10:29:28,-117;
10:29:30,10:29:30,-116;
