10:17:28.992,-134,10:17:29.136
10:17:30.395,-132,10:17:30.490
10:17:31.767,-132,10:17:31.862
10:17:58.619,-129,10:17:58.738
10:18:00.000,-130,10:18:00.133
10:18:01.351,-129,10:18:01.481
10:18:02.731,-127,10:18:02.877
10:18:08.392,-136,10:18:08.508
10:18:09.738,-129,10:18:09.866
10:18:11.132,-134,10:18:11.263
10:18:50.723,-132,10:18:50.867
10:18:52.119,-131,10:18:52.251
10:19:01.947,-132,10:19:02.124
10:19:07.571,-135,10:19:07.716
10:19:47.200,-134,10:19:47.292
10:20:35.276,-130,10:20:35.371
10:20:45.131,-131,10:20:45.275
10:20:50.763,-134,10:20:50.905
10:21:00.606,-131,10:21:00.747
10:21:10.491,-134,10:21:10.636
10:21:37.332,-132,10:21:37.477
10:21:38.712,-133,10:21:38.841
10:21:48.597,-135,10:21:48.741
10:22:05.587,-134,10:22:05.716
10:22:06.948,-133,10:22:07.079
10:22:16.828,-129,10:22:16.966
10:22:18.194,-128,10:22:18.337
10:22:19.590,-131,10:22:19.725
10:22:20.950,-132,10:22:21.095
10:22:22.357,-132,10:22:22.454
10:22:27.978,-131,10:22:28.120
10:22:37.860,-132,10:22:37.956
10:22:39.217,-135,10:22:39.360
