10:11:19.215,-135,10:11:19.362
10:11:36.914,-132,10:11:37.010
10:11:38.152,-132,10:11:38.249
10:11:39.388,-134,10:11:39.485
10:11:40.622,-134,10:11:40.717
10:11:50.061,-133,10:11:50.156
10:12:07.724,-134,10:12:07.865
10:12:08.951,-129,10:12:09.081
10:13:11.871,-134,10:13:12.013
10:13:13.119,-133,10:13:13.262
10:13:14.370,-132,10:13:14.465
10:13:15.589,-130,10:13:15.719
10:13:16.799,-133,10:13:16.943
10:13:18.070,-130,10:13:18.163
10:13:19.294,-132,10:13:19.390
10:13:20.511,-132,10:13:20.607
10:13:34.071,-133,10:13:34.216
10:13:35.301,-132,10:13:35.443
10:13:36.568,-132,10:13:36.663
10:13:37.757,-136,10:13:37.903
10:13:47.228,-134,10:13:47.370
10:13:48.458,-134,10:13:48.586
10:13:57.899,-132,10:13:58.041
10:13:59.169,-131,10:13:59.250
10:14:49.716,-133,10:14:49.847
10:15:03.304,-134,10:15:03.434
10:15:04.547,-134,10:15:04.642
10:15:05.763,-135,10:15:05.906
10:15:07.000,-132,10:15:07.096
10:15:08.247,-132,10:15:08.337
10:15:17.691,-132,10:15:17.786
10:15:18.916,-131,10:15:19.013
10:15:20.163,-133,10:15:20.257
10:15:21.389,-135,10:15:21.484
10:15:22.599,-133,10:15:22.727
10:15:44.410,-135,10:15:44.505
10:15:45.626,-132,10:15:45.768
10:15:50.975,-135,10:15:51.119
10:16:04.539,-133,10:16:05.066
